last,rest,selection_year,group_number,number_of_flights,status,military_civilian,gender,military_details,dob,job,missions_flown,cumulative_hours_space_flight
Gernhardt,Michael L.,1992,14,4,Current,Civilian,Male,,1956-05-04,Mission Specialist,"STS-69, STS-83, STS-94 and STS-104",1032
Grunsfeld,John M.,1992,14,5,Former,Civilian,Male,,1958-10-10,,"STS-67, STS-81, STS-103, STS-125 and STS-109",1392
Horowitz,Scott J.,1992,14,4,Former,Military,Male,"Colonel, US Air Force",1957-03-24,Pilot,"STS-75, STS-82, STS-101 and STS-105",1138
Jett,Brent W.,1992,14,4,Current,Military,Male,"Captain, US Navy",1958-10-05,Pilot,"STS-72, STS-81, STS-97 and STS-115",960
Kregel,Kevin R.,1992,14,4,Former,Civilian,Male,,1956-09-16,,"STS-70, STS-78, STS-87 and STS-99",1265
Lawrence,Wendy B.,1992,14,4,Former,Military,Female,"Captain, US Navy",1959-07-02,Mission Specialist,"STS-67, STS-86, STS-91 and STS-114",1225
Linenger,Jerry M.,1992,14,2,Former,Military,Male,"Captain, US Navy",1955-01-16,,STS-64 and STS-81,3435
Linnehan,Richard M.,1992,14,4,Current,Civilian,Male,,1957-09-19,Mission Specialist,"STS-78, STS-90, STS-109 and STS-123",1392
Lopez-Alegria,Michael E.,1992,14,4,Management,Military,Male,"Captain, US Navy",1958-05-30,,"STS-73, STS-92 and STS-113 and Exp 14",6168
Parazynski,Scott E.,1992,14,4,Former,Civilian,Male,,1961-07-28,Mission Specialist,"STS-66, STS-86, STS-95, STS-100 and STS-120",1318
Rominger,Kent V.,1992,14,5,Former,Military,Male,"Captain, US Navy",1956-08-07,,"STS-73, STS-80, STS-85, STS-96 and STS-100",1608
Scott,Winston E.,1992,14,2,Former,Military,Male,"Captain, US Navy",1950-08-06,,STS-72 and STS-87,590
Smith,Steven L.,1992,14,4,Management,Civilian,Male,,1958-12-30,,"STS-68, STS-82, STS-103 and STS-110",959
Tanner,Joseph R.,1992,14,4,Former,Civilian,Male,,1950-01-21,Mission Specialist,"STS-66, STS-82, STS-97 and STS-115",1069
Thomas,Andrew S. W.,1992,14,4,Current,Civilian,Male,,1951-12-18,Mission Specialist,"STS-77, STS-89, STS-102 and STS-114",4248
Weber,Mary E.,1992,14,2,Former,Civilian,Female,,1962-08-24,,STS-70 and STS-101,450
Altman,Scott D.,1995,15,4,Former,Military,Male,"Captain, US Navy",1959-08-15,Pilot,"STS-90, STS-106, STS-109 and STS-125",1224
Anderson,Michael P.,1995,15,2,Deceased,Military,Male,"Lieutenant Colonel, US Air Force",1959-12-25,,STS-89 and STS-107,593
Ashby,Jeffrey S.,1995,15,3,Former,Military,Male,"Captain, US Navy (Retired)",1954-06-01,,"STS-93, STS-100 and STS-112",660
Bloomfield,Michael J.,1995,15,3,Former,Military,Male,"Colonel, US Air Force",1959-03-16,Pilot,"STS-86, STS-97 and STS-110",753
Chawla,Kalpana,1995,15,2,Deceased,Civilian,Female,,1961-06-01,,STS-87 and STS-107,758
Curbeam,"Robert L., Jr.",1995,15,3,Former,Military,Male,Commander US Navy,1962-03-05,Mission Specialist,"STS-85, STS-98 and STS-116",901
Edwards,"Joe F., Jr.",1995,15,1,Former,Military,Male,"Commander, US Navy",1958-02-03,,STS-89,211
Gorie,Dominic L.,1995,15,4,Former,Military,Male,"Captain, US NAvy",1957-05-02,Pilot,"STS-91, STS-99, STS-123 and STS-108",128
Hire,Kathryn P.,1995,15,2,Current,Military,Female,"Captain, US Naval Reserve",1959-08-26,Mission Specialist,STS-90 and STS-130,711
Husband,Rick D.,1995,15,2,Deceased,Military,Male,"Colonel, US Air Force",1957-07-12,,STS-96 and STS-107,617
Kavandi,Janet L.,1995,15,3,Current,Civilian,Female,,1959-07-17,Mission Specialist,"STS-91, STS-99 and STS-104",792
Kilrain,Susan L.,1995,15,2,Former,Military,Female,"Commander, US Navy",1961-10-24,,STS-83 and STS-94,471
Lindsey,Steven W.,1995,15,5,Current,Military,Male,"Colonel, US Air Force",1960-08-24,Pilot,"STS-87, STS-95 and STS-104, STS-121 and STS-133",1510
Lu,Edward T.,1995,15,3,Former,Civilian,Male,,1963-07-01,Mission Specialist,"STS-84, STS-106, Expedition 7 and Soyuz TMA-2",4944
Melroy,Pamela A.,1995,15,3,Former,Military,Female,"Colonel, US Air Force",1961-09-17,Pilot,"STS-92, STS-112 and STS-120",924
Noriega,Carlos I.,1995,15,2,Current,Military,Male,"Lieutenant Colonel, US Marine Corps (Retired)",1959-10-08,Mission Specialist,STS-84 and STS-97,481
Reilly,James F.,1995,15,3,Former,Civilian,Male,US Naval Reserve,1954-03-18,Mission Specialist,"STS-89, STS-104 and STS-117",853
Robinson,Stephen K.,1995,15,4,Current,Civilian,Male,,1955-10-26,Mission Specialist,"STS-85, STS-95, STS-114 and STS-130",1156
Sturckow,Frederick W.,1995,15,4,Current,Military,Male,"Lieutenant Colonel, US Marine Corps",1961-08-11,Pilot,"STS-88, STS-105, STS-117 and STS-128",1200
Brown,David M.,1996,16,1,Deceased,Military,Male,"Captain, US Navy",1956-04-16,,STS-107,382
Burbank,Daniel C.,1996,16,1,Current,Military,Male,"Commander, US Navy",1961-07-27,Mission Specialist,STS-106 and STS-115,552
Cagle,Yvonne D.,1996,16,0,Current,Military,Female,"Colonel, US Air Force",1959-04-24,Mission Specialist,,0
Caldeiro,Fernando (Frank),1996,16,0,Deceased,Civilian,Male,,1958-06-12,Mission Specialist,,0
Camarda,Charles J.,1996,16,1,Current,Civilian,Male,,1952-05-08,Mission Specialist,STS-114,333
Carey,Duane G.,1996,16,1,Former,Military,Male,"Lieutenant Colonel, US Air Force",1957-04-30,Pilot,STS-109,240
Clark,Laurel B.,1996,16,1,Deceased,Military,Female,"Commander, US Navy",1961-03-10,,STS-107,382
Fincke,E. Michael,1996,16,3,Current,Military,Male,"Lieutenant Colonel, US Air Force",1967-03-14,Mission Specialist,"Exp 9, Exp 18, STS-134",9159
Forrester,Patrick G.,1996,16,3,Current,Military,Male,"Colonel, US Army",1957-03-31,Mission Specialist,"STS-105, STS-117 and STS-128",950
Frick,Stephen N.,1996,16,2,Current,Military,Male,"Commander, US Navy",1961-09-30,Pilot,STS-110 and STS-122,565
Herrington,John B.,1996,16,1,Former,Military,Male,"Commander, US Navy",1958-09-14,Mission Specialist,STS-113,330
Higginbotham,Joan E.,1996,16,1,Former,Civilian,Female,,1964-08-03,Mission Specialist,STS-116,308
Hobaugh,Charles O.,1996,16,3,Current,Military,Male,"Lieutenant Colonel, US Marine Corps",1961-11-05,Pilot,"STS-104, STS-118 and ST-129",876
Kelly,James M.,1996,16,2,Current,Military,Male,"Lieutenant Colonel, US Air Force",1964-05-14,Pilot,STS-102 and STS-114,641
Kelly,Mark E.,1996,16,3,Current,Military,Male,"Commander, US Navy",1964-02-21,Pilot,"STS-108, STS-121 and STS-124",912
Kelly,Scott J.,1996,16,3,Current,Military,Male,"Commander, US Navy",1964-02-21,Pilot,"STS-103, STS-118 and Soyuz TMA-M",4320
Lockhart,Paul S.,1996,16,2,Former,Military,Male,"Lieutenant Colonel, US Air Force",1956-04-28,,STS-111 and STS-113,624
Loria,Christopher J.,1996,16,0,Former,Military,Male,"Lieutenant Colonel, US Marine Corps",1960-07-09,,,0
Magnus,Sandra H.,1996,16,2,Current,Civilian,Female,,1964-10-30,Mission Specialist,STS-112 and STS-126,
Massimino,Michael J.,1996,16,2,Current,Civilian,Male,,1962-08-19,Mission Specialist,STS-109 and STS-125,571
Mastracchio,Richard A.,1996,16,3,Current,Civilian,Male,,1960-02-11,Mission Specialist,"STS-106, STS-118 and STS-131",960
McCool,William C.,1996,16,1,Deceased,Military,Male,"Commander, US Navy",1961-09-23,,STS-107,382
Morin,Lee M.,1996,16,1,Management,Military,Male,"Captain, US Navy",1952-09-09,,STS-110,259
Nowak,Lisa M.,1996,16,1,Former,Military,Female,"Commander, US Navy",1963-05-10,Mission Specialist,STS-121,306
Pettit,Donald R.,1996,16,2,Current,Civilian,Male,,1955-04-20,Mission Specialist,STS-113 and STS-126,4224
Phillips,John L.,1996,16,3,Current,Civilian,Male,US Naval Reserve,1951-04-15,Mission Specialist,"STS-100, Soyuz TMA-6 and STS-119",4872
Polansky,Mark L.,1996,16,3,Current,Civilian,Male,,1956-06-02,Pilot,"STS-98, ST-116 and STS-127",993
Richards,Paul W.,1996,16,1,Former,Civilian,Male,,1964-05-20,,STS-102,307
Sellers,Piers J.,1996,16,3,Current,Civilian,Male,,1955-04-11,Mission Specialist,"STS-112, STS-121 and STS-132",839
Stefanyshyn-Piper,Heidemarie M.,1996,16,2,Former,Military,Female,"Commander, US Navy",1963-02-07,Mission Specialist,STS-115 and STS-126,648
Tani,Daniel M.,1996,16,2,Current,Civilian,Male,,1961-02-01,Mission Specialist,STS-108 and STS-120/ Exp 16/ STS-122,318
Walheim,Rex J.,1996,16,2,Current,Military,Male,"Lieutenant Colonel, US Air Force",1962-10-10,Mission Specialist,STS-110 and STS-122,565
Anderson,Clayton C.,1998,17,2,Current,Civilian,Male,,1959-02-23,Mission Specialist,STS-117 and STS-131,4046
Archambault,Lee J.,1998,17,2,Current,Military,Male,"Lieutenant Colonel, US Air Force",1960-08-25,Pilot,STS-117 and STS-119,648
Caldwell,Tracy E.,1998,17,2,Current,Civilian,Female,,1969-08-14,Mission Specialist,STS-118 and Soyuz TMA-18,4529
Chamitoff,Gregory E.,1998,17,3,Current,Civilian,Male,,1962-08-06,Mission Specialist,"STS -124, Exp 17 and Exp 18",
Creamer,Timothy J.,1998,17,1,Current,Military,Male,"Lieutenant Colonel, US Army",1959-11-15,Mission Specialist,Soyuz TMA-17,3912
Ferguson,Christopher J.,1998,17,2,Current,Military,Male,"Commander, US Navy",1961-09-01,Pilot,STS-115 and STS-126,672
Foreman,Michael J.,1998,17,2,Current,Military,Male,"Captain, US Navy",1957-03-29,Mission Specialist,STS-123 and STS-129,637
Fossum,Michael E.,1998,17,2,Current,Civilian,Male,US Naval Reserve,1957-12-19,Mission Specialist,STS-121 and STS-124,636
Ham,Kenneth T.,1998,17,2,Current,Military,Male,"Commander, US Navy",1964-12-12,Pilot,STS-124 and STS-132,612
Johnson,Gregory C.,1998,17,1,Management,Civilian,Male,US naval Reserve,1954-07-30,Pilot,STS-125,309
Johnson,Gregory H.,1998,17,1,Current,Military,Male,"Lieutenant Colonel, US Air Force",1962-05-12,Pilot,STS-123,378
Love,Stanley G.,1998,17,1,Current,Civilian,Male,,1965-06-08,Mission Specialist,STS-122,306
Melvin,Leland D.,1998,17,2,Management,Civilian,Male,,1964-02-15,Mission Specialist,STS-122 and STS-129,565
Morgan,Barbara R.,1998,17,1,Former,Civilian,Female,,1951-11-28,Mission Specialist,STS-118,305
Oefelein,William A.,1998,17,1,Former,Military,Male,"Commander, US Navy",1965-03-29,Pilot,STS-116,308
Olivas,John D.,1998,17,2,Former,Civilian,Male,,1966-05-25,Mission Specialist,STS-117 and STS-128,668
Patrick,Nicholas J. M.,1998,17,2,Current,Civilian,Male,,1964-03-22,Mission Specialist,STS-116 and STS-130,638
Poindexter,Alan G.,1998,17,2,Former,Military,Male,"Commander, US Navy",1961-11-05,Pilot,STS-122 and STS-131,669
Reisman,Garrett E.,1998,17,2,Former,Civilian,Male,,1968-02-10,Mission Specialist,STS-123 and STS-132,2473
Robertson,Patricia Hilliard,1998,17,0,Deceased,Civilian,Female,,1963-03-12,,,0
Swanson,Steven R.,1998,17,2,Current,Civilian,Male,,1960-12-03,Mission Specialist,STS-117 and STS-119,643
Wheelock,Douglas H.,1998,17,2,Current,Military,Male,"Lieutenant Commander, US Army",1960-05-05,Mission Specialist,STS-120 and Exp 25,4272
Zamka,George D.,1998,17,2,Current,Military,Male,"Lieutenant Colonel, US Marine Corps",1962-06-29,Pilot,STS-120 and STS-130,692
Antonelli,Dominic A.,2000,18,2,Current,Military,Male,"Lieutenant Commander, US Navy",1967-08-23,Pilot,STS-119  and STS-132,579
Barratt,Michael R.,2000,18,2,Current,Civilian,Male,,1959-04-16,Mission Specialist,"Soyuz TMA-14, STS-133",5085
Behnken,Robert L.,2000,18,2,Current,Military,Male,"Major, US Air Force",1970-07-28,Mission Specialist,STS-123 and STS-130,708
Boe,Eric A.,2000,18,0,Current,Military,Male,"Lieutenant Colonel, US Air Force",1964-10-01,Pilot,STS-126 and STS-133,672
Bowen,Stephen G.,2000,18,3,Current,Military,Male,"Commander, US Navy",1964-02-13,Mission Specialist,"STS-126, STS-132 and STS-133",970
Drew,Alvin B.,2000,18,2,Current,Military,Male,"Lieutenant Colonel, US Air Force",1962-11-05,Mission Specialist,STS-118 and STS-133,612
Feustel,Andrew J.,2000,18,2,Current,Civilian,Male,,1965-08-25,Mission Specialist,STS-125 and STS-134,687
Ford,Kevin A.,2000,18,1,Current,Military,Male,"Lieutenant Colonel, US Air Force",1960-07-07,Pilot,STS-128,333
Garan,"Ronald J., Jr.",2000,18,0,Current,Military,Male,"Lieutenant Colonel, US Air Force",1961-10-20,Pilot,STS-124,330
Good,Michael T.,2000,18,2,Current,Military,Male,"Lieutenant Colonel, US Air Force",1962-10-13,Mission Specialist,STS-125 and STS-132,600
Hurley,Douglas G.,2000,18,1,Current,Military,Male,"Lieutenant Colonel, US Marine Corps",1966-10-21,Pilot,STS-127,376
Kopra,Timothy L.,2000,18,1,Current,Military,Male,"Lieutenant Colonel, US Army",1963-04-09,Mission Specialist,STS-127,1464
McArthur,K. Megan,2000,18,1,Current,Civilian,Female,,1971-08-30,Mission Specialist,STS-125,309
Nyberg,Karen L.,2000,18,1,Current,Civilian,Female,,1969-10-07,Mission Specialist,STS-124,330
Stott,Nicole P.,2000,18,2,Current,Civilian,Female,,1962-11-19,Mission Specialist,STS-128 and STS-133,2491
Virts,"Terry W., Jr.",2000,18,1,Current,Military,Male,"2nd Lieutenant, US Air Force",1967-12-01,Pilot,STS-130,330
Acaba,Joseph M.,2004,19,1,Current,Civilian,Male,,1967-05-17,Educator Mission Specialist,STS-119,307
Arnold,"Richard R., II",2004,19,0,Current,Civilian,Male,,1963-11-26,Educator Mission Specialist,STS-119,307
Bresnik,Randolph J.,2004,19,1,Current,Military,Male,"Major, USMC",1967-09-11,Pilot,STS-129,259
Cassidy,Christopher J.,2004,19,1,Candidate,Military,Male,"Lieutenant Commander, US Navy",1970-01-04,Mission Specialist,STS-127,376
Dutton,James P.,2004,19,0,Candidate,Military,Male,"Major, US Air Force",1968-11-20,Pilot,STS-131,362
Hernandez,Jose M.,2004,19,1,Former,Civilian,Male,,1962-08-07,Mission Specialist,STS-128,332
Kimbrough,Robert S.,2004,19,1,Current,Military,Male,"Major, US Army",1967-06-04,Mission Specialist,STS-126,380
Marshburn,Thomas H.,2004,19,1,Current,Military,Male,"Major, US Army",1960-08-29,Mission Specialist,STS-127,376
Metcalf-Lindenburger,Dorothy M.,2004,19,1,Current,Civilian,Female,,1975-05-02,Educator Mission Specialist,STS-131,362
Satcher,Robert L.,2004,19,1,Current,Civilian,Male,,1965-09-22,Mission Specialist,STS-129,259
Walker,Shannon,2004,19,,Current,Civilian,Female,,1965-06-04,Mission Specialist,,
